manager_short_name,goals_scored,assists,clean_sheets,minutes,goals_conceded,penalties_missed,penalties_saved,own_goals,red_cards,yellow_cards,saves,bonus,dreamteam
SL,4.0,1.0,1.0,2.0,8.0,0.0,0.0,0.0,0.0,3.0,4.0,8.0,3
WN,3.0,2.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,9.0,6.0,1
AA,2.0,1.0,3.0,2.0,6.0,0.0,0.0,0.0,0.0,1.0,4.0,7.0,1
ES,2.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0
RK,2.0,1.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,1
SS,2.0,0.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0
YA,2.0,0.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,1
YE,2.0,2.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,1.0,6.0,2.0,0
AC,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1
SB,1.0,2.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,4.0,2.0,6.0,0
ST,1.0,3.0,1.0,2.0,8.0,0.0,0.0,0.0,0.0,2.0,7.0,4.0,0
YA1,1.0,3.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,2.0,5.0,4.0,1
