manager,manager_name,team,fielded,points,bench,ratio,ppg
AA,Ali,MCI,4,17.0,4,1.0,4.25
AC,Aakar,MUN,4,2.0,4,1.0,0.5
YA1,Yahya,NEW,4,12.0,4,1.0,3.0
AA,Ali,LIV,3,6.0,3,1.0,2.0
RK,Ruslan,BHA,3,8.0,3,1.0,2.67
SB,Sandipan,CHE,3,4.0,3,1.0,1.33
YA,Youssef,LIV,3,4.0,3,1.0,1.33
YA,Youssef,MUN,3,20.0,4,0.75,6.67
AC,Aakar,ARS,2,2.0,2,1.0,1.0
AC,Aakar,MCI,2,13.0,2,1.0,6.5
ES,Ege,ARS,2,4.0,3,0.67,2.0
ES,Ege,BHA,2,4.0,2,1.0,2.0
ES,Ege,NEW,2,11.0,2,1.0,5.5
ES,Ege,TOT,2,3.0,2,1.0,1.5
RK,Ruslan,WHU,2,3.0,3,0.67,1.5
SB,Sandipan,ARS,2,6.0,2,1.0,3.0
SB,Sandipan,BHA,2,9.0,2,1.0,4.5
SB,Sandipan,LIV,2,3.0,2,1.0,1.5
SL,Sami,BRE,2,10.0,2,1.0,5.0
SL,Sami,MUN,2,8.0,2,1.0,4.0
SL,Sami,NEW,2,24.0,2,1.0,12.0
SS,Santi,BRE,2,7.0,2,1.0,3.5
SS,Santi,MCI,2,7.0,3,0.67,3.5
ST,Shrey,AVL,2,1.0,2,1.0,0.5
ST,Shrey,TOT,2,9.0,3,0.67,4.5
WN,Will,ARS,2,13.0,2,1.0,6.5
WN,Will,AVL,2,12.0,2,1.0,6.0
WN,Will,CRY,2,13.0,2,1.0,6.5
YE,Youssef,LIV,2,13.0,2,1.0,6.5
YE,Youssef,MUN,2,10.0,2,1.0,5.0
YE,Youssef,NEW,2,4.0,2,1.0,2.0
AA,Ali,AVL,1,0.0,1,1.0,0.0
AA,Ali,BHA,1,9.0,2,0.5,9.0
AA,Ali,MUN,1,12.0,1,1.0,12.0
AA,Ali,NFO,1,7.0,1,1.0,7.0
AC,Aakar,AVL,1,1.0,1,1.0,1.0
AC,Aakar,CHE,1,0.0,1,1.0,0.0
AC,Aakar,WHU,1,2.0,1,1.0,2.0
ES,Ege,FUL,1,6.0,1,1.0,6.0
ES,Ege,MCI,1,3.0,2,0.5,3.0
ES,Ege,MUN,1,0.0,1,1.0,0.0
RK,Ruslan,ARS,1,1.0,1,1.0,1.0
RK,Ruslan,LIV,1,2.0,1,1.0,2.0
RK,Ruslan,MCI,1,13.0,1,1.0,13.0
RK,Ruslan,MUN,1,3.0,1,1.0,3.0
RK,Ruslan,NEW,1,2.0,1,1.0,2.0
RK,Ruslan,WOL,1,2.0,2,0.5,2.0
SB,Sandipan,EVE,1,1.0,2,0.5,1.0
SB,Sandipan,WHU,1,9.0,1,1.0,9.0
SL,Sami,AVL,1,-1.0,1,1.0,-1.0
SL,Sami,BHA,1,1.0,1,1.0,1.0
SL,Sami,BOU,1,2.0,1,1.0,2.0
SL,Sami,FUL,1,3.0,1,1.0,3.0
SL,Sami,TOT,1,1.0,2,0.5,1.0
SS,Santi,AVL,1,1.0,2,0.5,1.0
SS,Santi,BUR,1,1.0,1,1.0,1.0
SS,Santi,CHE,1,2.0,1,1.0,2.0
SS,Santi,EVE,1,2.0,1,1.0,2.0
SS,Santi,FUL,1,1.0,1,1.0,1.0
SS,Santi,LUT,1,8.0,1,1.0,8.0
SS,Santi,TOT,1,2.0,1,1.0,2.0
ST,Shrey,BOU,1,7.0,1,1.0,7.0
ST,Shrey,CRY,1,3.0,2,0.5,3.0
ST,Shrey,EVE,1,2.0,1,1.0,2.0
ST,Shrey,FUL,1,7.0,1,1.0,7.0
ST,Shrey,MCI,1,5.0,1,1.0,5.0
ST,Shrey,NFO,1,2.0,1,1.0,2.0
ST,Shrey,WOL,1,2.0,1,1.0,2.0
WN,Will,CHE,1,2.0,1,1.0,2.0
WN,Will,FUL,1,12.0,1,1.0,12.0
WN,Will,LIV,1,2.0,1,1.0,2.0
WN,Will,MUN,1,3.0,1,1.0,3.0
WN,Will,NEW,1,1.0,1,1.0,1.0
YA,Youssef,ARS,1,2.0,1,1.0,2.0
YA,Youssef,BHA,1,7.0,1,1.0,7.0
YA,Youssef,CHE,1,2.0,2,0.5,2.0
YA,Youssef,MCI,1,6.0,1,1.0,6.0
YA,Youssef,WHU,1,1.0,2,0.5,1.0
YA1,Yahya,ARS,1,10.0,1,1.0,10.0
YA1,Yahya,AVL,1,1.0,1,1.0,1.0
YA1,Yahya,BOU,1,1.0,1,1.0,1.0
YA1,Yahya,BRE,1,4.0,2,0.5,4.0
YA1,Yahya,CHE,1,0.0,2,0.5,0.0
YA1,Yahya,EVE,1,2.0,1,1.0,2.0
YA1,Yahya,FUL,1,4.0,1,1.0,4.0
YE,Youssef,ARS,1,1.0,1,1.0,1.0
YE,Youssef,BHA,1,5.0,1,1.0,5.0
YE,Youssef,BRE,1,4.0,1,1.0,4.0
YE,Youssef,TOT,1,2.0,1,1.0,2.0
YE,Youssef,WOL,1,2.0,1,1.0,2.0
